-2214.272, 725.1755, 123.4401, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-2212.332, 726.2954, 123.4401, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-2182.28, 715.9619, 122.7327, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-2217.033, 744.7235, 123.7829, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-2229.668, 737.376, 123.8182, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-2177.355, 724.6378, 122.7249, amv_doors (amv_zone_0.ymt), ff9d00
-2178.455, 726.962, 124.4637, amv_han_house_int (amv_zone_0.ymt), ff9d00
-2176.924, 717.835, 123.3437, amv_han_house_int (amv_zone_0.ymt), ff9d00
-2217.799, 733.4114, 127.4399, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2217.685, 733.762, 129.394, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2161.018, 698.9658, 123.359, amv_han_01 (amv_zone_0.ymt), ff9d00
-2178.288, 719.5986, 126.4885, amv_han_01 (amv_zone_0.ymt), ff9d00
-2217.786, 733.5719, 129.7038, amv_han_01 (amv_zone_0.ymt), ff9d00
-2212.786, 724.9121, 124.5037, amv_han_01 (amv_zone_0.ymt), ff9d00
-2222.536, 741.799, 124.5037, amv_han_01 (amv_zone_0.ymt), ff9d00
-2228.054, 727.3556, 124.5537, amv_han_01 (amv_zone_0.ymt), ff9d00
-2207.095, 739.4556, 124.6637, amv_han_01 (amv_zone_0.ymt), ff9d00
-2226.969, 703.4451, 123.5037, amv_han_01 (amv_zone_0.ymt), ff9d00
-2216.698, 701.7783, 123.5037, amv_han_01 (amv_zone_0.ymt), ff9d00
-2206.694, 736.3491, 123.7598, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2210.036, 742.0979, 123.8998, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2208.309, 739.1688, 124.938, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2227.334, 728.1873, 124.9161, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2229.174, 731.0393, 123.7098, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2225.865, 725.2483, 123.6198, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2213.234, 725.7048, 123.4098, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2218.159, 722.8034, 125.3098, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2224.449, 740.4978, 124.5098, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2213.234, 725.7048, 128.2098, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2213.337, 736.2515, 127.9098, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2222.179, 730.963, 127.9098, amv_han_barn_int (amv_zone_0.ymt), ff9d00
-2161.018, 698.9658, 123.359, amv_han_01 (amv_zone_0.ymt), ff9d00
-2238.854, 734.5645, 133.0433, amv_han_01 (amv_zone_0.ymt), ff9d00
-2194.884, 741.3086, 124.6637, amv_han_01 (amv_zone_0.ymt), ff9d00
-2194.366, 716.7332, 123.1865, amv_han_01 (amv_zone_0.ymt), ff9d00
-2201.158, 681.8879, 121.6059, amv_han_01 (amv_zone_0.ymt), ff9d00
-2176.924, 717.835, 127.3937, amv_han_house_int (amv_zone_0.ymt), ff9d00
-2212.664, 725.9823, 128.2778, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-2213.828, 725.3139, 128.2766, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-1815.612, 654.7, 131.9783, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-1816.07, 659.3962, 134.4111, amv_wat (amv_zone_0.ymt), ff9d00
-1825.592, 649.0057, 132.5611, amv_wat (amv_zone_0.ymt), ff9d00
-1818.085, 658.5081, 133.4368, amv_wat_cabin_int (amv_zone_0.ymt), ff9d00
-1815.609, 663.7706, 129.2168, amv_wat_cabin_int (amv_zone_0.ymt), ff9d00
-1815.526, 663.1381, 132.9347, amv_wat_cabin_int (amv_zone_0.ymt), ff9d00
-2459.966, 839.1076, 146.3341, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-2459.819, 841.2684, 146.8619, amv_shack_bigvalley_int (amv_zone_0.ymt), ff9d00
-2459.966, 839.0787, 146.3344, amv_shack_bigvalley_int (amv_zone_0.ymt), ff9d00
-2519.859, 820.8422, 145.1957, amv_dis_bgv_bridgel05 (amv_zone_0.ymt), ff9d00
-2566.203, 755.5175, 154.1277, 0x9D7C1512 (amv_zone_0.ymt), ff9d00
-2459.893, 840.6926, 145.3701, amv_shack_bigvalley (amv_zone_0.ymt), ff9d00
-2458.089, 842.1784, 146.5419, amv_shack_bigvalley_int (amv_zone_0.ymt), ff9d00
-2533.302, 1172.741, 226.1154, 0x66884588 (door) (amv_zone_0.ymt), ff9d00
-2532.038, 1174.251, 227.0293, amv_shack_but_int (amv_zone_0.ymt), ff9d00
-2533.292, 1172.735, 226.1155, amv_shack_but_int (amv_zone_0.ymt), ff9d00
-2533.189, 1175.6, 226.405, amv_shack_but_int (amv_zone_0.ymt), ff9d00
-2531.969, 1174.121, 227.065, amv_her_01 (amv_zone_0.ymt), ff9d00
-2524.765, 1181.413, 229.19, amv_her_01 (amv_zone_0.ymt), ff9d00
-2541.829, 1174.011, 226.19, amv_her_01 (amv_zone_0.ymt), ff9d00
-2532.938, 1163.71, 225.19, amv_her_01 (amv_zone_0.ymt), ff9d00
-908.7509, -1372.687, 47.09423, amv_blackwater1 (amv_zone_1.ymt), ff9d00
-948.0876, -1325.255, 56.39837, amv_blackwater6 (amv_zone_1.ymt), ff9d00
-909.5876, -1340.38, 46.72337, amv_blackwater6 (amv_zone_1.ymt), ff9d00
-901.8759, -1388.437, 45.49423, amv_blackwater1 (amv_zone_1.ymt), ff9d00
-946.5978, -1379.419, 51.49423, amv_blackwater1 (amv_zone_1.ymt), ff9d00
-934.1105, -1379.308, 50.8697, amv_blackwater1 (amv_zone_1.ymt), ff9d00
