x, y, z, filename.yas (path), marker

Green Marker = useSceneOrigin = True (4cc922)
Red Marker = useSceneOrigin = False (c92222)
Blue Marker = useSceneOrigin = Not Set (n/a)
Black Marker = No clipDictionaryName (000000)
Purple Marker = deleted clipDictionaryName* (9D00FF)

* The marked files with deleted dictionaries can still contain other used and valid dictionaries

-6443.553, -3539.9507, -24.693954, script@mp@establishers@coronado.yas (patchpack003), n/a
-6314.8, -3466.7, -10.6, script@beat@wilderness@discoverables@jesuit_missionary@pose.yas (anim_0), 4cc922
-6053.104, -3384.687, -9.120136, script@fast_travel@loc@fast_travel_loc_t95a.yas (anim_0), n/a
-6046.736, -3258.634, -15.32, script@mp@bounty@legendary@lbalc@ig@lbalc_ig1_bountyidle@inside_office.yas (mp005), 4cc922
-6009.751, -3143.458, 9.723, script@mp@bounty@legendary@lbalc@ig@lbalc_ig1_bountyidle@tower.yas (mp005), 4cc922
-5991.873, -3232.657, -22.14, script@mp@bounty@legendary@lbalc@ig@lbalc_ig1_bountyidle@outside_factory.yas (mp005), 4cc922
-5986.164, -3580.581, -25.0775, 0x8A1B175B.yas (patchpack004), 4cc922
-5985.7944, -3248.3162, -21.805183, script@establisher@gaptoothbreach.yas (anim_0), n/a
-5978.631, -3721.216, -23.77441, script@fast_travel@loc@fast_travel_loc_u95a.yas (anim_0), n/a
-5974.511, -3221.865, -22.59, script@mp@naturalist@animal_sightings@legendary_cougar.yas (mp007), 4cc922
-5973.033, -3220.689, -21.745, script@fast_travel@establisher@settlement@gaptooth_1.yas (anim_0), n/a
-5972.634, -3226.062, -22.0875, script@fast_travel@establisher@settlement@gaptooth_2.yas (anim_0), n/a
-5964.815, -3235.1853, -21.062979, script@mp@establishers@gaptooth.yas (patchpack002), n/a
-5962.86, -3193.2, -22.02, script@mp@bounty@legendary@lbalc@ig@lbalc_ig2_tunnel@target.yas (mp005), 4cc922
-5962.86, -3193.2, -22.02, script@mp@bounty@legendary@lbalc@ig@lbalc_ig2_tunnel@tunnel_combat.yas (mp005), 4cc922
-5962.86, -3193.2, -22.02, script@mp@bounty@legendary@lbalc@ig@lbalc_ig2_tunnel@tunnel_surrender.yas (mp005), 4cc922
-5962.86, -3193.2, -22.02, script@proc@bountyhunting@banditomine@banditomine_main.yas (anim_0), 4cc922
-5962.86, -3193.2, -22.02, script@proc@bountyhunting@banditomine@target.yas (anim_0), 4cc922
-5955.988, -3723.847, -25.31, 0x9811B348.yas (patchpack004), 4cc922
-5884.089, -3228.658, -17.61515, script@mp@bounty@legendary@int@gaptoothbridge.yas (mp005), 4cc922
-5857.0225, -3734.0623, -25.794037, script@establisher@scratchingpost.yas (anim_0), n/a
-5847.9, -3728.4, -25.7, cutscene@mpgun4_ext.yas (mp004), 4cc922
-5845.63, -3595.63, -24.48, script@proc@bountyhunting@banditoshack@railroad.yas (anim_0), 4cc922
-5811.155, -3541.302, -19.13821, 0xADE3DEEC.yas (patchpack004), 4cc922
-5799.849, -3664.768, -27.0449, 0xF35CE9DD.yas (patchpack004), 4cc922
-5799.959, -2695.12, -12.05085, script@fast_travel@loc@fast_travel_loc_s95a.yas (anim_0), n/a
-5736.2, -3557.6, -21.3, script@mp@establishers@newaustin.yas (patchpack002), n/a
-5682.836, -3196.377, -21.622, cutscene@lbalc_int.yas (mp005), 4cc922
-5682.836, -3196.377, -21.6221, script@mp@bounty@legendary@int@gaptoothridge_new.yas (mp005), 4cc922
-5625.279, -2949.184, 7.645359, script@establisher@tumbleweed.yas (anim_0), n/a
-5585.249, -2980.123, -0.57, 0x38162CE8.yas (mp005), 4cc922
-5583.083, -2939.762, 3.350023, script@fast_travel@establisher@stagecoach@tumbleweed.yas (anim_0), n/a
-5560.401, -2975.2, -1.26, 0x76BA1ECD.yas (mp005), 4cc922
-5549.7, -2576.9, -5.1, script@mpstory@mpclay2@int_loops@session_screen_tumbleweed.yas (patchpack002), n/a
-5548.96, -3039.163, -2.095, 0x294C8F55.yas (mp005), 4cc922
-5533.0986, -2933.687, -6.1365, script@fast_travel@establisher@town@tumbleweed_2.yas (anim_0), n/a
