x, y, z, debugModel / entityId (filename.yas), useSceneOrigin

useSceneOrigin
Green Marker = True
Red Marker = False
Blue Marker = n/a

-5190.004109, -2158.622430, 11.612321, p_cs_saddle02x / p_cs_saddle02x (script@ambient@generic@saddle_pickup_put_down_stand@pickup@action.yas) (PS4), 4cc922
-5190.048844, -2158.905834, 12.193860, p_cs_saddle02x / p_cs_saddle02x (script@ambient@generic@saddle_pickup_put_down_stand@putdown@action.yas) (PS4), 4cc922
-5190.094955, -2158.893633, 12.138809, p_cs_saddle02x / p_cs_saddle02x (script@ambient@generic@saddle_pickup_put_down_stand@putdown@action.yas) (PS4), 4cc922
-5190.163591, -2159.181203, 11.967637, male_skeleton / male_skeleton (script@ambient@generic@saddle_pickup_put_down_stand@pickup@action.yas) (PS4), 4cc922
-5190.268655, -2159.274286, 11.969765, male_skeleton / male_skeleton (script@ambient@generic@saddle_pickup_put_down_stand@putdown@action.yas) (PS4), 4cc922
-5189.941936, -2158.645652, 11.620119, p_cs_saddle02x / p_cs_saddle02x (script@ambient@generic@saddle_pickup_put_down_stand@pickup@action.yas) (PS4), 4cc922
-2465.142251, 746.375013, 136.029309, p_cs_lootsack03x / loot_sack (script@ambient@generic@hobo_train_hop@action_w_lootsack.yas) (PS4), 4cc922
-2465.308820, 746.617373, 135.408676, cs_genstorymale / ped (script@ambient@generic@hobo_train_hop@action_w_lootsack.yas) (PS4), 4cc922
-2465.410096, 746.682684, 135.435771, cs_genstorymale / ped (script@ambient@generic@hobo_train_hop@action_w_lootsack.yas) (PS4), 4cc922
-2465.415644, 746.542922, 136.077659, p_cs_lootsack03x / loot_sack (script@ambient@generic@hobo_train_hop@action_w_lootsack.yas) (PS4), 4cc922
-1806.335663, -429.778481, 158.848163, a_c_alligator_01 / ped_doctor (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1805.119637, -431.731861, 158.848162, a_c_alligator_01 / ped_doctor (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1804.300961, -431.569774, 158.848162, a_c_alligator_01 / ped_doctor (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1804.338005, -431.877220, 158.849904, cs_billwilliamson / ped_companion (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1804.396849, -432.411749, 158.849904, cs_billwilliamson / ped_companion (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1804.435000, -432.516000, 157.815300, p_windsorchair02x / obj_chair (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1803.147643, -431.952029, 158.860690, a_c_alligator_01 / ped_doctor (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1803.533827, -432.190444, 158.849904, cs_billwilliamson / ped_companion (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1801.293262, -429.098828, 158.849904, cs_billwilliamson / ped_companion (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1801.303758, -429.131285, 158.849904, cs_billwilliamson / ped_companion (0x238E4FE0.yas) (script@beat) (PS4), 4cc922
-1794.563000, -386.042100, 160.368600, p_apple01x / apple (script@ambient@generic@companion_take_food@male_a@action.yas) (PS4), 4cc922
-1793.080871, -384.043483, 160.342913, cs_genstoryfemale / female (script@ambient@generic@companion_take_food@female_a@action.yas) (PS4), 4cc922
-1793.250871, -384.063483, 160.312913, cs_genstorymale / male (script@ambient@generic@companion_take_food@male_a@action.yas) (PS4), 4cc922
-1793.678797, -384.706189, 160.425460, p_apple01x / apple (script@ambient@generic@companion_take_food@female_a@action.yas) (PS4), 4cc922
-1793.732167, -384.684863, 160.430460, p_apple01x / apple (script@ambient@generic@companion_take_food@male_a@action.yas) (PS4), 4cc922
-1673.599812, -1344.800148, 84.089364, p_c_horse_01 / horse (script@vignette@beecher@charles_4@base.yas) (PS4), 4cc922
-1646.294614, -1373.783287, 84.507239, cs_abigailroberts / abigailroberts (script@vignette@beecher@abigail_6@action_left_enter.yas) (PS4), 4cc922
-1646.298959, -1373.823250, 84.510125, cs_abigailroberts / abigailroberts (script@vignette@beecher@abigail_6@action_left_enter.yas) (PS4), 4cc922
-1646.298959, -1373.823250, 84.510125, cs_abigailroberts / abigailroberts (script@vignette@beecher@abigail_6@action_right_enter.yas) (PS4), 4cc922
-1646.305773, -1373.856242, 84.507958, cs_abigailroberts / abigailroberts (script@vignette@beecher@abigail_6@action_exit_90.yas) (PS4), 4cc922
-1646.307220, -1373.854331, 84.511535, cs_abigailroberts / abigailroberts (script@vignette@beecher@abigail_6@action_exit_180.yas) (PS4), 4cc922
-1646.334909, -1373.777046, 84.507710, cs_abigailroberts / abigailroberts (script@vignette@beecher@abigail_6@action_right_enter.yas) (PS4), 4cc922
-1646.481159, -1373.603476, 84.504181, player_three / player_three (script@vignette@beecher@abigail_6@action_exit_180.yas) (PS4), 4cc922
-1646.495178, -1373.632203, 84.489386, player_three / player_three (script@vignette@beecher@abigail_6@action_exit_90.yas) (PS4), 4cc922
-1646.530139, -1373.626966, 84.496153, player_three / player_three (script@vignette@beecher@abigail_6@action_left_enter.yas) (PS4), 4cc922
-1646.530139, -1373.626966, 84.496153, player_three / player_three (script@vignette@beecher@abigail_6@action_right_enter.yas) (PS4), 4cc922
-1646.862911, -1373.564217, 84.496997, player_three / player_three (script@vignette@beecher@abigail_6@action_right_enter.yas) (PS4), 4cc922
-1645.952375, -1373.223634, 84.489730, player_three / player_three (script@vignette@beecher@abigail_6@action_left_enter.yas) (PS4), 4cc922
-1642.473851, -1371.329811, 84.089369, cs_uncle / uncle (script@vignette@beecher@charles_and_uncle_4@exit.yas) (PS4), 4cc922
-1642.473851, -1371.329811, 84.089369, cs_uncle / uncle (script@vignette@beecher@charles_and_uncle_4@idle_a.yas) (PS4), 4cc922
-1642.473851, -1371.329811, 84.089369, cs_uncle / uncle (script@vignette@beecher@charles_and_uncle_4@idle_b.yas) (PS4), 4cc922
-1642.473851, -1371.329811, 84.089369, cs_uncle / uncle (script@vignette@beecher@charles_and_uncle_4@idle_c.yas) (PS4), 4cc922
-1642.473851, -1371.329811, 84.089369, cs_uncle / uncle (script@vignette@beecher@charles_and_uncle_4@idle_d.yas) (PS4), 4cc922
-1642.473851, -1371.329811, 84.089369, cs_uncle / uncle (script@vignette@beecher@charles_and_uncle_4@idle_e.yas) (PS4), 4cc922
-1642.473851, -1371.329811, 84.089369, cs_uncle / uncle (script@vignette@beecher@charles_and_uncle_4@quick_exit.yas) (PS4), 4cc922
-1642.538319, -1371.980915, 84.465302, cs_uncle / uncle (script@vignette@beecher@charles_and_uncle_4@enter.yas) (PS4), 4cc922
-1613.141433, -1383.572750, 82.348856, cs_jackmarston_teen / jack (script@vignette@beecher@uncle_and_jack_1@enter.yas) (PS4), 4cc922
-1613.208896, -1383.665489, 82.572609, p_feather01x / feather (script@vignette@beecher@uncle_and_jack_1@enter.yas) (PS4), 4cc922
-1612.416637, -1383.903988, 81.982367, p_feather01x / feather (script@vignette@beecher@uncle_and_jack_1@idle_b_look_front.yas) (script@vignette) (PS4), 4cc922
-1612.477275, -1383.766249, 82.167763, p_feather01x / feather (script@vignette@beecher@uncle_and_jack_1@exit_quick.yas) (PS4), 4cc922
-1612.484717, -1383.258582, 82.350481, cs_jackmarston_teen / jack (script@vignette@beecher@uncle_and_jack_1@idle_f_look_front.yas) (script@vignette) (PS4), 4cc922
-1612.547170, -1383.293837, 82.345897, cs_jackmarston_teen / jack (script@vignette@beecher@uncle_and_jack_1@idle_b_look_front.yas) (script@vignette) (PS4), 4cc922
-1612.578520, -1383.453436, 82.342819, cs_jackmarston_teen / jack (script@vignette@beecher@uncle_and_jack_1@idle_d.yas) (PS4), 4cc922
-1612.584070, -1383.799427, 81.985041, p_feather01x / feather (script@vignette@beecher@uncle_and_jack_1@idle_a.yas) (PS4), 4cc922
-1612.592055, -1383.484337, 82.287332, cs_jackmarston_teen / jack (script@vignette@beecher@uncle_and_jack_1@exit_quick.yas) (PS4), 4cc922
-1612.605910, -1383.529181, 82.030603, p_feather01x / feather (script@vignette@beecher@uncle_and_jack_1@idle_f_look_front.yas) (script@vignette) (PS4), 4cc922
-1612.638170, -1383.329596, 82.354211, cs_jackmarston_teen / jack (script@vignette@beecher@uncle_and_jack_1@idle_a.yas) (PS4), 4cc922
-1612.650653, -1383.443312, 82.351001, cs_jackmarston_teen / jack (script@vignette@beecher@uncle_and_jack_1@idle_e.yas) (PS4), 4cc922
-1612.652120, -1383.628754, 82.123902, p_feather01x / feather (script@vignette@beecher@uncle_and_jack_1@idle_d.yas) (PS4), 4cc922
-1612.655340, -1383.393499, 82.345873, cs_jackmarston_teen / jack (script@vignette@beecher@uncle_and_jack_1@idle_c_look_back.yas) (script@vignette) (PS4), 4cc922
-1612.710880, -1383.582240, 82.076108, p_feather01x / feather (script@vignette@beecher@uncle_and_jack_1@idle_c_look_back.yas) (script@vignette) (PS4), 4cc922
-1612.749400, -1383.719391, 81.993459, p_feather01x / feather (script@vignette@beecher@uncle_and_jack_1@idle_e.yas) (PS4), 4cc922
-1611.663726, -1384.223568, 81.534386, cs_uncle / uncle (script@vignette@beecher@uncle_and_jack_1@idle_a.yas) (PS4), 4cc922
-1611.663726, -1384.223568, 81.534386, cs_uncle / uncle (script@vignette@beecher@uncle_and_jack_1@idle_b_look_front.yas) (script@vignette) (PS4), 4cc922
-1611.663726, -1384.223568, 81.534386, cs_uncle / uncle (script@vignette@beecher@uncle_and_jack_1@idle_c_look_back.yas) (script@vignette) (PS4), 4cc922
-1611.663726, -1384.223568, 81.534386, cs_uncle / uncle (script@vignette@beecher@uncle_and_jack_1@idle_d.yas) (PS4), 4cc922
-1611.663726, -1384.223568, 81.534386, cs_uncle / uncle (script@vignette@beecher@uncle_and_jack_1@idle_e.yas) (PS4), 4cc922
-1611.663726, -1384.223568, 81.534386, cs_uncle / uncle (script@vignette@beecher@uncle_and_jack_1@idle_f_look_front.yas) (script@vignette) (PS4), 4cc922
-1607.527447, -1424.768822, 80.936807, p_haybale03x / haybale (script@vignette@beecher@jack_1@exit_stand.yas) (PS4), 4cc922
-1607.603756, -1424.714345, 80.817665, p_haybale03x / haybale (script@vignette@beecher@jack_1@exit_walk.yas) (PS4), 4cc922
-1607.603756, -1424.714345, 80.817665, p_haybale03x / haybale (script@vignette@beecher@jack_1@idles.yas) (PS4), 4cc922
-1606.624698, -1425.183075, 81.491620, cs_jackmarston_teen / jack (script@vignette@beecher@jack_1@exit_walk.yas) (PS4), 4cc922
