x, y, z, debugModel / entityId (filename.yas), useSceneOrigin

useSceneOrigin
Green Marker = True = 4cc922
Red Marker = False = c92222
Blue Marker = n/a

-6314.926240, -3466.983708, -10.575040, a_m_m_unicorpse_01 / missionary (script@beat@wilderness@discoverables@jesuit_missionary@pose.yas), 4cc922
-6053.104005, -3384.687008, -9.120136, None / camera (script@fast_travel@loc@fast_travel_loc_t95a.yas), null
-5985.794400, -3248.316200, -21.805183, None / camera (script@establisher@gaptoothbreach.yas), null
-5984.553706, -3295.100329, -20.759953, None / camera (script@fast_travel@establisher@settlement@gaptooth_1.yas), null
-5982.064960, -3222.388290, -21.936730, w_repeater_carbine01 / rifle_b (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5982.108490, -3220.784730, -21.217547, g_m_m_unibanditos_01 / bandito_d (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5982.146080, -3220.777100, -22.206008, p_chair24x / chair_d (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5982.165670, -3223.097960, -21.235677, g_m_m_unibanditos_01 / bandito_b (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5982.196970, -3161.012390, -25.583610, g_m_m_unibanditos_01 / target (script@proc@bountyhunting@banditomine@target.yas), 4cc922
-5982.733340, -3220.547980, -21.891915, w_repeater_carbine01 / rifle_d (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5981.114430, -3222.930790, -21.146155, w_repeater_carbine01 / rifle_b (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5981.774270, -3221.766870, -21.241482, g_m_m_unibanditos_01 / bandito_c (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5981.847650, -3221.760880, -22.238203, p_chair02x / chair_c (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5980.350300, -3227.871780, -21.545837, p_chuckwagonbreak01x / wagon_prop (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5980.616740, -3227.623740, -22.579016, p_chuckwagonbreak01x / wagon_prop (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5979.107780, -3226.288210, -21.284260, w_throw_dynamite01 / dynamite (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5979.583460, -3226.013100, -20.386413, g_m_m_unibanditos_01 / bandito_a (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5978.631000, -3721.216000, -23.774410, None / camera (script@fast_travel@loc@fast_travel_loc_u95a.yas), null
-5978.983770, -3226.345080, -21.459154, p_dynamitecrate02x / crate (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5963.767129, -3194.783962, -21.627127, g_m_m_unibanditos_01 / bandito_e (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5962.860000, -3193.200000, -22.020000, w_repeater_carbine01 / rifle_d (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5962.860000, -3193.200000, -22.020000, w_throw_dynamite01 / dynamite (script@proc@bountyhunting@banditomine@banditomine_main.yas), 4cc922
-5923.750661, -3245.059346, -20.215262, None / camera (script@fast_travel@establisher@settlement@gaptooth_2.yas), null
-5857.022500, -3734.062300, -25.794037, None / camera (script@establisher@scratchingpost.yas), null
-5857.217684, -3595.914943, -23.549718, u_m_m_bht_banditoshack / male_b (script@proc@bountyhunting@banditoshack@railroad.yas), 4cc922
-5855.844580, -3595.848622, -23.564665, g_m_m_unibanditos_01 / male_a (script@proc@bountyhunting@banditoshack@railroad.yas), 4cc922
-5854.974203, -3595.750629, -23.515507, u_m_m_bht_banditoshack / male_b (script@proc@bountyhunting@banditoshack@railroad.yas), 4cc922
-5852.110637, -3596.483822, -23.484807, g_m_m_unibanditos_01 / male_c (script@proc@bountyhunting@banditoshack@railroad.yas), 4cc922
-5799.959000, -2695.120000, -12.050850, None / camera (script@fast_travel@loc@fast_travel_loc_s95a.yas), null
-5625.279000, -2949.184000, 7.645359, None / camera (script@establisher@tumbleweed.yas), null
-5620.499779, -2941.945641, 7.307690, None / camera (script@fast_travel@establisher@town@tumbleweed_3.yas), null
-5571.595756, -3039.043278, 0.511877, None / camera (script@fast_travel@establisher@town@tumbleweed_2.yas), null
-5571.723000, -2955.812000, 2.440023, None / camera (script@fast_travel@establisher@stagecoach@tumbleweed.yas), null
-5531.076498, -2930.683715, -1.848079, u_m_m_rhdsheriff_01 / sheriff (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5531.122750, -2930.714201, -2.365400, p_windsorchair03x / chair (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitrelax_tweed.yas), 4cc922
-5531.122750, -2930.714201, -2.365400, p_windsorchair03x / chair (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5531.122750, -2930.714201, -2.365400, p_windsorchair03x / chair (script@proc@bountyhunting@sheriff_rewards@tumbleweed@stand_tweed.yas), 4cc922
-5531.123054, -2930.713549, -2.365391, p_windsorchair03x / chair (script@beat@town@banditoexecution@execute.yas), 4cc922
-5531.163399, -2930.724238, -1.865391, u_m_m_rhdsheriff_01 / sheriff (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitrelax_tweed.yas), 4cc922
-5531.163399, -2930.724238, -1.865391, u_m_m_rhdsheriff_01 / sheriff (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5531.163701, -2930.723581, -1.865391, s_m_m_dispatchleaderrural_01 / sheriff (script@beat@town@banditoexecution@execute.yas), 4cc922
-5531.187350, -2930.019920, -1.377100, u_m_m_rhdsheriff_01 / sheriff (script@proc@bountyhunting@sheriff_rewards@tumbleweed@stand_tweed.yas), 4cc922
-5530.153000, -2930.262000, -2.377100, p_desk07x / desk (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitrelax_tweed.yas), 4cc922
-5530.153000, -2930.262000, -2.377100, p_desk07x / desk (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5530.153000, -2930.262000, -2.377100, p_desk07x / desk (script@proc@bountyhunting@sheriff_rewards@tumbleweed@stand_tweed.yas), 4cc922
-5530.248296, -2929.166932, -1.411232, None / camera (script@proc@jailcells@tumbleweed_john.yas), null
-5530.291119, -2930.608040, -1.568805, p_pen01x / pen (script@beat@town@banditoexecution@execute.yas), 4cc922
-5530.303216, -2930.368594, -1.559333, p_journal_open01x / book (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5530.357605, -2930.364198, -1.559260, p_pen01x / pen (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5530.357608, -2930.364197, -1.559265, p_pen01x / pen (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5530.373919, -2926.346186, -1.355784, player_zero / player (script@proc@bountyhunting@jail_dropoffs@dropoff_tumbleweed.yas), 4cc922
-5530.401888, -2926.276156, -0.676509, cs_genstorymale / bounty (script@proc@bountyhunting@jail_dropoffs@dropoff_tumbleweed.yas), 4cc922
-5530.540612, -2929.813489, -1.739915, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5530.547531, -2929.807234, -1.743302, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5530.585937, -2929.893625, -1.744792, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@stand_tweed.yas), 4cc922
-5530.595536, -2929.836379, -1.743618, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitrelax_tweed.yas), 4cc922
-5530.633523, -2929.851085, -1.743160, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitrelax_tweed.yas), 4cc922
-5530.642139, -2929.717231, -1.742130, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitrelax_tweed.yas), 4cc922
-5530.650545, -2929.755261, -1.741540, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitwriting_tweed.yas), 4cc922
-5530.673489, -2929.740072, -1.742296, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@sitrelax_tweed.yas), 4cc922
-5530.698566, -2929.848810, -1.760653, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@stand_tweed.yas), 4cc922
-5530.706340, -2929.850237, -1.744246, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@stand_tweed.yas), 4cc922
-5530.770141, -2929.851982, -1.743694, s_inv_moneyclip01x / money (script@proc@bountyhunting@sheriff_rewards@tumbleweed@stand_tweed.yas), 4cc922
-5529.463400, -2926.235920, -1.335106, p_cs_lockjail01x / celldoorlock (script@proc@bountyhunting@jail_dropoffs@dropoff_tumbleweed.yas), 4cc922
-5529.914001, -2925.074000, -2.360100, p_door_val_jail_cell01x / celldoor (script@proc@bountyhunting@jail_dropoffs@dropoff_tumbleweed.yas), 4cc922
-5529.962771, -2926.906244, -1.194072, None / camera (script@proc@jailcells@tumbleweed_john.yas), null
-5528.995315, -2924.447620, -0.980512, None / camera (script@proc@bountyhunting@jail_dropoffs@dropoff_tumbleweed.yas), null
-5527.017229, -2936.468273, -1.943308, s_m_m_ambientlawrural_01 / deputy (script@beat@town@banditoexecution@execute.yas), 4cc922
-5527.125188, -2933.583347, -1.957368, s_m_m_dispatchleaderrural_01 / sheriff (script@beat@town@banditoexecution@execute.yas), 4cc922
-5527.197481, -2933.700878, -1.957368, s_m_m_dispatchleaderrural_01 / sheriff (script@beat@town@banditoexecution@execute.yas), 4cc922
-5527.235103, -2934.901987, -1.948505, g_m_m_unibanditos_01 / criminal (script@beat@town@banditoexecution@execute.yas), 4cc922
-5527.254255, -2934.807247, -1.948505, g_m_m_unibanditos_01 / criminal (script@beat@town@banditoexecution@execute.yas), 4cc922
-5527.274831, -2935.243169, -2.691938, s_ropehogtiehands01x / rope_hands (script@beat@town@banditoexecution@execute.yas), 4cc922
-5527.301793, -2935.120616, -2.743941, s_ropehogtiehands01x / rope_hands (script@beat@town@banditoexecution@execute.yas), 4cc922
