x, y, z, debugModel / entityId (filename.yas) (dlcpack), useSceneOrigin

useSceneOrigin
Green Marker = True
Red Marker = False
Blue Marker = n/a

40.454780, 12.047620, 102.492246, cs_herbalist / herbalist (script@beat@wilderness@herbalistcamp@directional_exchange_new.yas) (dlc_content_extra), 4cc922
40.679627, 10.545192, 102.492246, player_zero / player (script@beat@wilderness@herbalistcamp@directional_exchange_new.yas) (dlc_content_extra), 4cc922
40.679456, 10.519897, 102.492246, player_zero / player (script@beat@wilderness@herbalistcamp@directional_exchange_new.yas) (dlc_content_extra), 4cc922
40.637215, 10.669073, 102.480755, player_zero / player (script@beat@wilderness@herbalistcamp@directional_exchange_new.yas) (dlc_content_extra), 4cc922
50.000000, 75.700000, 101.900546, cs_herbalist / herbalist (script@beat@wilderness@herbalistcamp@forward_exchange_new.yas) (dlc_content_extra), 4cc922
51.107057, 74.659677, 101.900546, player_zero / player (script@beat@wilderness@herbalistcamp@forward_exchange_new.yas) (dlc_content_extra), 4cc922
50.667855, 75.264506, 101.900000, cs_herbalist / herbalist (script@beat@wilderness@herbalistcamp@forward_exchange_new.yas) (dlc_content_extra), 4cc922
49.307864, 76.288478, 101.900000, player_zero / player (script@beat@wilderness@herbalistcamp@forward_exchange_new.yas) (dlc_content_extra), 4cc922
49.372078, 76.261077, 101.888509, player_zero / player (script@beat@wilderness@herbalistcamp@forward_exchange_new.yas) (dlc_content_extra), 4cc922
0.281690, 0.077126, 0.795748, p_mortarpestle02x / objmortar (script@beat@wilderness@herbalistcamp@herbalistgcurrantreturn.yas) (dlc_content_extra), 4cc922
0.032077, -0.184810, 0.795947, s_inv_goldencurrant01bx / goldcurrant (script@beat@wilderness@herbalistcamp@herbalistgcurrantreturn.yas) (dlc_content_extra), 4cc922
-0.445000, -0.109914, 0.791001, s_inv_medicine01x / objmbottle01 (script@beat@wilderness@herbalistcamp@herbalistgcurrantreturn.yas) (dlc_content_extra), 4cc922
-0.193750, 0.780600, 1.000000, cs_herbalist / ped_herbalist (script@beat@wilderness@herbalistcamp@herbalistgcurrantreturn.yas) (dlc_content_extra), 4cc922
-0.193750, 0.780600, 1.000000, cs_herbalist / ped_herbalist (script@beat@wilderness@herbalistcamp@herbalisthbsagereturn.yas) (dlc_content_extra), 4cc922
0.032076, -0.184813, 0.813744, s_inv_humbirdsage01bx / hbsage (script@beat@wilderness@herbalistcamp@herbalisthbsagereturn.yas) (dlc_content_extra), 4cc922
384.690942, 176.311905, 114.662100, 0x20123C3C / ped_herbalist (script@beat@wilderness@herbalistcamp@herbalistinitialgcurrant.yas) (dlc_content_extra), 4cc922
385.453400, 176.567900, 113.662100, p_knife02x / objknife (script@beat@wilderness@herbalistcamp@herbalistinitialgcurrant.yas) (dlc_content_extra), 4cc922
385.453400, 176.567900, 113.662100, 0x20123C3C / ped_herbalist (script@beat@wilderness@herbalistcamp@herbalistinitialgcurrant.yas) (dlc_content_extra), 4cc922
385.453400, 176.567900, 113.662100, s_inv_burdock01dx / objburdock01 (script@beat@wilderness@herbalistcamp@herbalistinitialgcurrant.yas) (dlc_content_extra), 4cc922
385.453400, 176.567900, 113.662100, p_mortarpestle02x / objmortar (script@beat@wilderness@herbalistcamp@herbalistinitialgcurrant.yas) (dlc_content_extra), 4cc922
385.453400, 176.567900, 113.662100, s_inv_medicine01x / objmbottle01 (script@beat@wilderness@herbalistcamp@herbalistinitialgcurrant.yas) (dlc_content_extra), 4cc922
385.453400, 176.567900, 113.662100, s_inv_milkweed01bx / 0x9590C690 (script@beat@wilderness@herbalistcamp@herbalistinitialgcurrant.yas) (dlc_content_extra), 4cc922
385.217448, 176.826176, 114.467199, s_inv_burdock01dx / objburdock01 (script@beat@wilderness@herbalistcamp@herbalistinitialgcurrant.yas) (dlc_content_extra), 4cc922
0.281690, 0.077126, 0.795748, p_mortarpestle02x / objmortar (script@beat@wilderness@herbalistcamp@herbalistvsnowdropreturn.yas) (dlc_content_extra), 4cc922
0.019781, -0.122157, 0.800225, s_inv_feverfew01bx / snoedrop (script@beat@wilderness@herbalistcamp@herbalistvsnowdropreturn.yas) (dlc_content_extra), 4cc922
-0.193750, 0.780600, 1.000000, cs_herbalist / ped_herbalist (script@beat@wilderness@herbalistcamp@herbalistvsnowdropreturn.yas) (dlc_content_extra), 4cc922
0.032077, -0.184809, 0.795951, s_inv_yarrow01dx / objyarrow02 (script@beat@wilderness@herbalistcamp@herbalistyarrowreturn.yas) (dlc_content_extra), 4cc922
-0.193750, 0.780600, 1.000000, cs_herbalist / ped_herbalist (script@beat@wilderness@herbalistcamp@herbalistyarrowreturn.yas) (dlc_content_extra), 4cc922
-1373.574263, 113.620674, 83.798846, p_mortarpestle02x / p_mortarpestle02x (script@beat@wilderness@herbalistcamp@leadin@rc1@leadin_ilo.yas) (dlc_content_extra), c92222
-1372.825481, 114.737185, 84.803710, cs_genstorymale / genstorymale (script@beat@wilderness@herbalistcamp@leadin@rc1@leadin_ilo.yas) (dlc_content_extra), 4cc922
-1371.900000, 116.500000, 83.800000, p_mortarpestle02x / p_mortarpestle02x (script@beat@wilderness@herbalistcamp@leadin@rc1@leadin_ilo.yas) (dlc_content_extra), c92222
-1373.524913, 113.140616, 84.803710, cs_genstorymale / genstorymale (script@beat@wilderness@herbalistcamp@leadin@rc1@leadin_ilo.yas) (dlc_content_extra), 4cc922
-1373.718120, 113.697175, 84.233249, p_mortarpestle02x / p_mortarpestle02x (script@beat@wilderness@herbalistcamp@leadin@rc1@leadin_ilo.yas) (dlc_content_extra), c92222
-0.170422, -0.893373, -1.707091, s_inv_humbirdsage01bx / hummingbird_sage (script@beat@wilderness@herbalistcamp@playerscene.yas) (dlc_content_extra), 4cc922
0.028840, -0.864808, 1.000000, player_zero / player (script@beat@wilderness@herbalistcamp@playerscene.yas) (dlc_content_extra), 4cc922
-0.170422, -0.893373, -1.707091, s_inv_goldencurrant01bx / golden_currant (script@beat@wilderness@herbalistcamp@playerscene.yas) (dlc_content_extra), 4cc922
-0.001761, -1.250320, 1.000000, player_zero / player (script@beat@wilderness@herbalistcamp@playerscene.yas) (dlc_content_extra), 4cc922
-0.170422, -0.893373, -1.707091, s_inv_yarrow01dx / yarrow (script@beat@wilderness@herbalistcamp@playerscene.yas) (dlc_content_extra), 4cc922
-0.170422, -0.893373, -1.707091, s_inv_feverfew01bx / violet_snowdrop (script@beat@wilderness@herbalistcamp@playerscene.yas) (dlc_content_extra), 4cc922
-0.085115, -1.123666, 1.000000, player_zero / player (script@beat@wilderness@herbalistcamp@playerscene.yas) (dlc_content_extra), 4cc922
-0.295482, -1.169072, 0.972300, s_inv_yarrow01dx / yarrow (script@beat@wilderness@herbalistcamp@playerscene.yas) (dlc_content_extra), 4cc922
-125.469500, -1652.279000, 54.200880, p_rock_stash01 / floorboard (script@proc@rockstash@base_l.yas) (dlc_content_extra), 4cc922
-125.445679, -1652.272021, 54.151018, s_pickup_goldbar01x / cash (script@proc@rockstash@base_l.yas) (dlc_content_extra), 4cc922
-125.119892, -1652.149824, 55.219466, player_zero / player (script@proc@rockstash@base_l.yas) (dlc_content_extra), 4cc922
-125.470500, -1652.528000, 54.200880, p_rock_stash01 / floorboard (script@proc@rockstash@base_r.yas) (dlc_content_extra), 4cc922
-125.531879, -1652.536166, 54.141658, s_pickup_goldbar01x / cash (script@proc@rockstash@base_r.yas) (dlc_content_extra), 4cc922
-125.882989, -1652.686367, 55.219466, player_zero / player (script@proc@rockstash@base_r.yas) (dlc_content_extra), 4cc922
-129.200200, -1651.100000, 54.200880, p_rock_stash01 / floorboard (script@proc@rockstash@enter_l.yas) (dlc_content_extra), 4cc922
-129.197590, -1651.075315, 54.151018, s_pickup_goldbar01x / cash (script@proc@rockstash@enter_l.yas) (dlc_content_extra), 4cc922
-129.186626, -1650.727538, 55.219466, player_zero / player (script@proc@rockstash@enter_l.yas) (dlc_content_extra), 4cc922
-125.468500, -1652.030000, 54.200880, p_rock_stash01 / floorboard (script@proc@rockstash@enter_r.yas) (dlc_content_extra), 4cc922
-125.529879, -1652.038166, 54.141658, s_pickup_goldbar01x / cash (script@proc@rockstash@enter_r.yas) (dlc_content_extra), 4cc922
-125.880989, -1652.188367, 55.219466, player_zero / player (script@proc@rockstash@enter_r.yas) (dlc_content_extra), 4cc922
1114.625300, -1307.160472, 66.437528, mp_female / mp_player_f_2 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1109.063762, -1299.174936, 66.452108, None / exportcamera (cutscene@gfh_ant_int.yas) (mp001), null
1114.490178, -1306.541985, 66.431706, mp_female / mp_player_f_3 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1109.822153, -1298.629115, 66.222327, p_cs_newspaper_03x / p_cs_newspaper_03x (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1109.132843, -1299.107474, 66.019068, cs_antonyforemen / antonyforemen (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1109.098666, -1298.997623, 65.408892, p_chair24x / p_chair24x (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1109.797760, -1299.712415, 66.215709, mp001_mp_photo_jacksonjames_01x / mp_photo_jacksonjames_01x (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1114.055294, -1306.050081, 66.418335, mp_female / mp_player_f_1 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1114.962472, -1308.384468, 66.374462, mp_male / mp_player_m_4 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1114.489943, -1306.540485, 66.406074, mp_male / mp_player_m_3 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1114.061191, -1306.052221, 66.392292, mp_male / mp_player_m_1 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1114.958127, -1308.387167, 66.401144, mp_female / mp_player_f_4 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1114.625755, -1307.159657, 66.412050, mp_male / mp_player_m_2 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1114.607178, -1305.075439, 65.418289, p_door02x / p_door02x (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1109.760629, -1301.151390, 66.436101, mp_female / mp_player_f_2 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
1107.012863, -1298.997743, 66.893573, None / exportcamera (cutscene@gfh_ant_int.yas) (mp001), null
1110.113447, -1301.972816, 66.435274, mp_female / mp_player_f_3 (cutscene@gfh_ant_int.yas) (mp001), 4cc922
